"dataset","runtime_candidate","trust_candidate","preserve30_candidate","label_accuracy_candidate","peak_ram_gb_candidate","runtime_reference","trust_reference","preserve30_reference","label_accuracy_reference","peak_ram_gb_reference","speedup","trust_delta","preserve30_delta","label_accuracy_delta","ram_ratio","candidate","reference","family"
"Macosko2015_retina",17.928,0.91882505479683,0.4069,0.9635,0.528007507324219,20.831,0.918991316809981,0.40715,0.964,0.73126220703125,1.16192547969656,-0.000166262013151064,-0.000250000000000028,-0.000499999999999945,0.722049495033804,"fastEmbedR_umap_cpu_fuzzy_full","uwot_fast_sgd","UMAP"
"MetRef",0.669,0.86227702535768,0.414471172203131,0.703321878579611,0.420673370361328,1.578,0.864647305886845,0.422947689957999,0.725085910652921,0.485088348388672,2.35874439461883,-0.00237028052916499,-0.00847651775486796,-0.02176403207331,0.86720980159323,"fastEmbedR_umap_cpu_fuzzy_full","uwot_fast_sgd","UMAP"
"TabulaMuris",33.012,0.970258978249874,0.6115,0.819,0.710742950439453,59.054,0.981968942842691,0.640133333333333,0.827,0.915767669677734,1.78886465527687,-0.011709964592817,-0.028633333333333,-0.00800000000000001,0.776117102593903,"fastEmbedR_umap_cpu_fuzzy_full","uwot_fast_sgd","UMAP"
"USPS",5.857,0.889570268948655,0.366933333333333,0.7112,0.429542541503906,7.497,0.886037881010595,0.3724,0.7128,0.579704284667969,1.28000682943486,0.00353238793805999,-0.00546666666666701,-0.00159999999999993,0.740968374504823,"fastEmbedR_umap_cpu_fuzzy_full","uwot_fast_sgd","UMAP"
"flow18",398.817,0.964973882987692,0.4298,0.954,3.67353439331055,789.126,0.966161406170966,0.429433333333333,0.9555,6.57590103149414,1.97866690737857,-0.00118752318327398,0.000366666666667015,-0.00150000000000006,0.558635900345336,"fastEmbedR_umap_cpu_fuzzy_full","uwot_fast_sgd","UMAP"
"mass41",411.15,0.971090574945203,0.4102,0.9075,3.78664398193359,407.708,0.971277491148204,0.41075,0.8965,6.0094108581543,0.991628359479509,-0.000186916203001042,-0.000549999999999995,0.011,0.63011900356179,"fastEmbedR_umap_cpu_fuzzy_full","uwot_fast_sgd","UMAP"
"COIL20",0.602,0.859902962534541,0.514102564102564,0.602564102564103,1.03472900390625,23.495,0.860404215667374,0.581623931623932,0.647435897435897,1.06206512451172,39.0282392026578,-0.000501253132833002,-0.067521367521368,-0.044871794871794,0.974261351799836,"fastEmbedR_umap_cuda_fuzzy_full","uwot_fast_sgd","UMAP"
"FashionMNIST",0.972,0.964485359990595,0.574743230625584,0.735294117647059,1.12826156616211,61.679,0.944238650597721,0.545331465919701,0.717086834733894,1.40840148925781,63.4557613168724,0.020246709392874,0.0294117647058829,0.018207282913165,0.801093704293563,"fastEmbedR_umap_cuda_fuzzy_full","uwot_fast_sgd","UMAP"
"MNIST",0.991,0.927346664666832,0.490429505135387,0.963585434173669,1.13073348999023,65.338,0.928768439358377,0.491316526610644,0.96218487394958,1.61708450317383,65.9313824419778,-0.00142177469154503,-0.000887021475256988,0.00140056022408908,0.699242054308822,"fastEmbedR_umap_cuda_fuzzy_full","uwot_fast_sgd","UMAP"
"Macosko2015_retina",0.656,0.912367442252571,0.399033333333333,0.9645,0.941627502441406,20.831,0.918991316809981,0.40715,0.964,0.73126220703125,31.7545731707317,-0.00662387455740998,-0.00811666666666699,0.000500000000000056,1.28767423420416,"fastEmbedR_umap_cuda_fuzzy_full","uwot_fast_sgd","UMAP"
"MetRef",0.58,0.870686970779148,0.42401680030546,0.717067583046964,0.909629821777344,1.578,0.864647305886845,0.422947689957999,0.725085910652921,0.485088348388672,2.72068965517241,0.00603966489230301,0.00106911034746104,-0.008018327605957,1.87518381919269,"fastEmbedR_umap_cuda_fuzzy_full","uwot_fast_sgd","UMAP"
"TabulaMuris",0.891,0.96363631765301,0.603483333333333,0.8135,0.771785736083984,59.054,0.981968942842691,0.640133333333333,0.827,0.915767669677734,66.2783389450056,-0.0183326251896809,-0.03665,-0.0135,0.842774604999521,"fastEmbedR_umap_cuda_fuzzy_full","uwot_fast_sgd","UMAP"
"USPS",0.628,0.888755490355882,0.36496,0.7072,0.914051055908203,7.497,0.886037881010595,0.3724,0.7128,0.579704284667969,11.937898089172,0.00271760934528698,-0.00744,-0.00559999999999994,1.57675401076557,"fastEmbedR_umap_cuda_fuzzy_full","uwot_fast_sgd","UMAP"
"flow18",1.77,0.964518007081437,0.427016666666667,0.952,0.898582458496094,789.126,0.966161406170966,0.429433333333333,0.9555,6.57590103149414,445.833898305085,-0.00164339908952904,-0.00241666666666601,-0.00350000000000006,0.13664780753124,"fastEmbedR_umap_cuda_fuzzy_full","uwot_fast_sgd","UMAP"
"mass41",2.151,0.970044275838813,0.409,0.9005,0.876422882080078,407.708,0.971277491148204,0.41075,0.8965,6.0094108581543,189.543468154347,-0.00123321530939102,-0.00175000000000003,0.004,0.145841731039381,"fastEmbedR_umap_cuda_fuzzy_full","uwot_fast_sgd","UMAP"
