"dataset","method","method_label","family","backend","profile","timing_interface","n_runs","runtime","runtime_q1","runtime_q3","dataset_label","display_label"
"FashionMNIST","python_umap_learn_direct","Python umap-learn direct","UMAP","cpu","cpu4","direct Python",3,77.2495644148439,73.1501032384112,77.4797252453863,"Fashion-MNIST","Python umap-learn direct [CPU]"
"MNIST","python_umap_learn_direct","Python umap-learn direct","UMAP","cpu","cpu4","direct Python",3,81.752477925038,81.6330028244993,82.3135749894427,"MNIST","Python umap-learn direct [CPU]"
"Macosko2015_retina","python_umap_learn_direct","Python umap-learn direct","UMAP","cpu","cpu4","direct Python",3,49.5112347989343,49.3873907953966,49.5538525304291,"Retina","Python umap-learn direct [CPU]"
"MetRef","python_umap_learn_direct","Python umap-learn direct","UMAP","cpu","cpu4","direct Python",3,12.4954642071389,12.3284325001296,12.7064031065674,"MetRef","Python umap-learn direct [CPU]"
"TabulaMuris","python_umap_learn_direct","Python umap-learn direct","UMAP","cpu","cpu4","direct Python",3,85.8204787860159,85.7404421430547,87.7716002280359,"Tabula Muris","Python umap-learn direct [CPU]"
"USPS","python_umap_learn_direct","Python umap-learn direct","UMAP","cpu","cpu4","direct Python",3,21.3630882289726,20.9046891705365,21.4163335064659,"USPS","Python umap-learn direct [CPU]"
"flow18","python_umap_learn_direct","Python umap-learn direct","UMAP","cpu","cpu4","direct Python",3,1126.65822762297,1109.20507570845,1146.921354071,"flow18","Python umap-learn direct [CPU]"
"mass41","python_umap_learn_direct","Python umap-learn direct","UMAP","cpu","cpu4","direct Python",3,1121.98841348523,1091.36205221363,1128.05325653544,"mass41","Python umap-learn direct [CPU]"
"COIL20","python_umap_learn_direct","Python umap-learn direct","UMAP","cpu","cpu4","direct Python",3,19.3118180399761,18.3453930753749,19.388034429634,"COIL-20","Python umap-learn direct [CPU]"
"COIL20","rapids_cuml_umap_full","RAPIDS cuML UMAP via R","UMAP","cuda","cuda","R/reticulate",3,3.358,3.348,3.401,"COIL-20","RAPIDS cuML UMAP via R [CUDA]"
"FashionMNIST","rapids_cuml_umap_full","RAPIDS cuML UMAP via R","UMAP","cuda","cuda","R/reticulate",3,4.135,4.134,4.2345,"Fashion-MNIST","RAPIDS cuML UMAP via R [CUDA]"
"FlowRepository_FR-FCM-ZYRM_files","rapids_cuml_umap_full","RAPIDS cuML UMAP via R","UMAP","cuda","cuda","R/reticulate",3,199.395,198.3515,200.149,"FlowRepository","RAPIDS cuML UMAP via R [CUDA]"
"MNIST","rapids_cuml_umap_full","RAPIDS cuML UMAP via R","UMAP","cuda","cuda","R/reticulate",3,4.099,4.0905,4.1205,"MNIST","RAPIDS cuML UMAP via R [CUDA]"
"Macosko2015_retina","rapids_cuml_umap_full","RAPIDS cuML UMAP via R","UMAP","cuda","cuda","R/reticulate",3,3.157,3.151,3.2065,"Retina","RAPIDS cuML UMAP via R [CUDA]"
"MetRef","rapids_cuml_umap_full","RAPIDS cuML UMAP via R","UMAP","cuda","cuda","R/reticulate",3,3.009,3.007,3.014,"MetRef","RAPIDS cuML UMAP via R [CUDA]"
"TabulaMuris","rapids_cuml_umap_full","RAPIDS cuML UMAP via R","UMAP","cuda","cuda","R/reticulate",3,3.638,3.622,3.6435,"Tabula Muris","RAPIDS cuML UMAP via R [CUDA]"
"USPS","rapids_cuml_umap_full","RAPIDS cuML UMAP via R","UMAP","cuda","cuda","R/reticulate",3,2.979,2.9775,2.987,"USPS","RAPIDS cuML UMAP via R [CUDA]"
"flow18","rapids_cuml_umap_full","RAPIDS cuML UMAP via R","UMAP","cuda","cuda","R/reticulate",3,12.095,11.9695,12.1205,"flow18","RAPIDS cuML UMAP via R [CUDA]"
