"dataset","requested_method","source_method","display","seed","profile","fallback_used","status","image_path"
"FlowRepository_FR-FCM-ZYRM_files","Rtsne_full","Rtsne_full","Rtsne::Rtsne",4,"cpu4",FALSE,"not_run",
"FlowRepository_FR-FCM-ZYRM_files","KlugerLab_FItSNE","KlugerLab_FItSNE","FIt-SNE",4,"cpu4",FALSE,"not_run",
"FlowRepository_FR-FCM-ZYRM_files","fastEmbedR_opentsne_cpu_full","fastEmbedR_opentsne_cuda_full","fastEmbedR::opentsne",4,"cuda",TRUE,"success","/Users/stefano/Documents/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260721_193418_1071192/plots/FlowRepository_FR-FCM-ZYRM_files_fastEmbedR_opentsne_cuda_full_threads1_seed4.png"
"FlowRepository_FR-FCM-ZYRM_files","uwot_fast_sgd","uwot_fast_sgd","uwot::umap (fast_sgd = TRUE)",4,"cpu4",FALSE,"not_run",
"FlowRepository_FR-FCM-ZYRM_files","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR::umap (fuzzy)",4,"cuda",TRUE,"success","/Users/stefano/Documents/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260721_193418_1071192/plots/FlowRepository_FR-FCM-ZYRM_files_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png"
"FlowRepository_FR-FCM-ZYRM_files","fastEmbedR_umap_cpu_binary_full","fastEmbedR_umap_cuda_binary_full","fastEmbedR::umap (binary)",4,"cuda",TRUE,"success","/Users/stefano/Documents/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260721_193418_1071192/plots/FlowRepository_FR-FCM-ZYRM_files_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png"
"flow18","Rtsne_full","Rtsne_full","Rtsne::Rtsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/plots/flow18_Rtsne_full_threads4_seed4.png"
"flow18","KlugerLab_FItSNE","KlugerLab_FItSNE","FIt-SNE",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/plots/flow18_KlugerLab_FItSNE_threads4_seed4.png"
"flow18","fastEmbedR_opentsne_cpu_full","fastEmbedR_opentsne_cpu_full","fastEmbedR::opentsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/plots/flow18_fastEmbedR_opentsne_cpu_full_threads4_seed4.png"
"flow18","uwot_fast_sgd","uwot_fast_sgd","uwot::umap (fast_sgd = TRUE)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/plots/flow18_uwot_fast_sgd_threads4_seed4.png"
"flow18","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR::umap (fuzzy)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/plots/flow18_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png"
"flow18","fastEmbedR_umap_cpu_binary_full","fastEmbedR_umap_cpu_binary_full","fastEmbedR::umap (binary)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/plots/flow18_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png"
"MNIST","Rtsne_full","Rtsne_full","Rtsne::Rtsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cpu4/20260721_084502_1071186/plots/MNIST_Rtsne_full_threads4_seed4.png"
"MNIST","KlugerLab_FItSNE","KlugerLab_FItSNE","FIt-SNE",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cpu4/20260721_084502_1071186/plots/MNIST_KlugerLab_FItSNE_threads4_seed4.png"
"MNIST","fastEmbedR_opentsne_cpu_full","fastEmbedR_opentsne_cpu_full","fastEmbedR::opentsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cpu4/20260721_084502_1071186/plots/MNIST_fastEmbedR_opentsne_cpu_full_threads4_seed4.png"
