"dataset","method","method_label","family","backend","profile","timing_interface","timing_scope","runtime_measure","n_runs","runtime","runtime_q1","runtime_q3","r_public_function_total_call_sec","r_mediated_total_call_sec","direct_python_fit_sec","direct_python_process_total_sec","dataset_label","display_label"
"FashionMNIST","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only)","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.91078185662627,2.86363128572702,2.94125327048823,,,2.91078185662627,4.543,"Fashion-MNIST","RAPIDS cuML t-SNE direct (fit only) [CUDA]"
"MetRef","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only)","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,1.59085529483855,1.58753224462271,1.59197025280446,,,1.59085529483855,1.98,"MetRef","RAPIDS cuML t-SNE direct (fit only) [CUDA]"
"FlowRepository_FR-FCM-ZYRM_files","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only)","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,779.210353499278,766.009776502847,779.909238719381,,,779.210353499278,791.905,"FlowRepository","RAPIDS cuML t-SNE direct (fit only) [CUDA]"
"MNIST","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only)","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.71646160166711,2.71112602716312,2.72078189998865,,,2.71646160166711,3.746,"MNIST","RAPIDS cuML t-SNE direct (fit only) [CUDA]"
"Macosko2015_retina","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only)","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.26436308585107,2.26005031121895,2.26533065084368,,,2.26436308585107,2.81,"Retina","RAPIDS cuML t-SNE direct (fit only) [CUDA]"
"COIL20","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only)","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.11078825686127,2.10531478840858,2.12195726763457,,,2.11078825686127,3.225,"COIL-20","RAPIDS cuML t-SNE direct (fit only) [CUDA]"
"imagenet","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only)","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,166.472339186817,163.755921480245,168.255837560166,,,166.472339186817,210.069,"ImageNet","RAPIDS cuML t-SNE direct (fit only) [CUDA]"
"TabulaMuris","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only)","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.69658135436475,2.67737882537767,2.72798268869519,,,2.69658135436475,3.415,"Tabula Muris","RAPIDS cuML t-SNE direct (fit only) [CUDA]"
"USPS","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only)","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,1.94197330996394,1.94036589935422,1.95025413343683,,,1.94197330996394,2.398,"USPS","RAPIDS cuML t-SNE direct (fit only) [CUDA]"
"flow18","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only)","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,34.3854468232021,34.3428668333218,34.3892163131386,,,34.3854468232021,36.7,"flow18","RAPIDS cuML t-SNE direct (fit only) [CUDA]"
"mass41","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only)","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,33.2783109210432,33.1297873556614,33.3134305784479,,,33.2783109210432,35.593,"mass41","RAPIDS cuML t-SNE direct (fit only) [CUDA]"
